Time,Channel A,Channel B
(ms),(V),(V)

-78.97856541,0.09918515,-0.11902220
-78.97344541,0.07934812,0.03967406
-78.96832541,0.07934812,-0.15869620
-78.96320541,0.07934812,-0.11902220
-78.95808541,0.09918515,0.15869620
-78.95296541,0.09918515,-0.39674060
-78.94784541,0.09918515,-0.39674060
-78.94272541,0.09918515,0.15869620
-78.93760541,0.07934812,0.00000000
-78.93248541,0.07934812,-0.27771840
-78.92736541,0.07934812,0.19837030
-78.92224541,0.07934812,-0.11902220
-78.91712541,0.07934812,0.00000000
-78.91200541,0.07934812,0.03967406
-78.90688541,0.07934812,-0.03967406
-78.90176541,0.07934812,-0.07934812
-78.89664541,0.07934812,0.03967406
-78.89152541,0.07934812,0.03967406
-78.88640541,0.07934812,0.07934812
-78.88128541,0.07934812,0.07934812
-78.87616541,0.07934812,-0.03967406
-78.87104541,0.07934812,-0.19837030
-78.86592541,0.07934812,-0.03967406
-78.86080541,0.07934812,0.03967406
-78.85568541,0.07934812,0.15869620
-78.85056541,0.07934812,-0.19837030
-78.84544541,0.07934812,0.07934812
-78.84032541,0.07934812,0.07934812
-78.83520541,0.07934812,-0.07934812
-78.83008541,0.07934812,-0.07934812
-78.82496541,0.07934812,-0.03967406
-78.81984541,0.07934812,-0.19837030
-78.81472541,0.07934812,0.15869620
-78.80960541,0.07934812,-0.07934812
-78.80448541,0.09918515,0.00000000
-78.79936541,0.09918515,-0.11902220
-78.79424541,0.09918515,-0.23804440
-78.78912541,0.09918515,-0.07934812
-78.78400541,0.07934812,0.15869620
-78.77888541,0.07934812,0.11902220
-78.77376541,0.07934812,0.00000000
-78.76864541,0.09918515,0.31739250
-78.76352541,0.09918515,-0.27771840
-78.75840541,0.11902220,-0.23804440
-78.75328541,0.11902220,-0.11902220
-78.74816541,0.11902220,0.00000000
-78.74304541,0.13885920,0.03967406
-78.73792541,0.13885920,0.31739250
-78.73280541,0.13885920,-0.03967406
-78.72768541,0.13885920,-0.27771840
-78.72256541,0.13885920,0.07934812
-78.71744541,0.13885920,-0.31739250
-78.71232541,0.13885920,0.07934812
-78.70720541,0.13885920,0.35706660
-78.70208541,0.13885920,-0.15869620
-78.69696542,0.11902220,0.23804440
-78.69184542,0.13885920,0.15869620
-78.68672542,0.11902220,-0.15869620
-78.68160542,0.09918515,-0.31739250
-78.67648542,0.09918515,0.03967406
-78.67136542,0.09918515,0.03967406
-78.66624542,0.09918515,-0.23804440
-78.66112542,0.11902220,0.15869620
-78.65600542,0.11902220,0.23804440
-78.65088542,0.09918515,-0.63478500
-78.64576542,0.11902220,-0.07934812
-78.64064542,0.11902220,-0.43641470
-78.63552542,0.13885920,0.00000000
-78.63040542,0.13885920,-0.23804440
-78.62528542,0.11902220,-0.03967406
-78.62016542,0.09918515,0.07934812
-78.61504542,0.07934812,-0.31739250
-78.60992542,0.07934812,-0.03967406
-78.60480542,0.07934812,-0.07934812
-78.59968542,0.07934812,-0.11902220
-78.59456542,0.07934812,0.03967406
-78.58944542,0.07934812,0.19837030
-78.58432542,0.07934812,0.03967406
-78.57920542,0.07934812,-0.15869620
-78.57408542,0.07934812,0.03967406
-78.56896542,0.07934812,-0.07934812
-78.56384542,0.07934812,-0.23804440
-78.55872542,0.07934812,-0.23804440
-78.55360542,0.07934812,-0.11902220
-78.54848542,0.07934812,0.07934812
-78.54336542,0.07934812,-0.07934812
-78.53824542,0.07934812,0.03967406
-78.53312542,0.07934812,-0.39674060
-78.52800542,0.07934812,-0.55543680
-78.52288542,0.07934812,-0.31739250
-78.51776542,0.07934812,0.11902220
-78.51264542,0.07934812,0.03967406
-78.50752542,0.07934812,0.19837030
-78.50240542,0.07934812,0.23804440
-78.49728542,0.07934812,0.15869620
-78.49216542,0.07934812,-0.31739250
-78.48704542,0.07934812,-0.07934812
-78.48192542,0.07934812,-0.15869620
-78.47680542,0.09918515,0.19837030
-78.47168542,0.09918515,0.11902220
-78.46656542,0.11902220,0.03967406
-78.46144542,0.11902220,-0.35706660
-78.45632542,0.09918515,0.07934812
-78.45120542,0.11902220,-0.03967406
-78.44608542,0.09918515,-0.27771840
-78.44096542,0.09918515,-0.31739250
-78.43584542,0.09918515,0.15869620
-78.43072542,0.07934812,-0.15869620
-78.42560542,0.07934812,0.15869620
-78.42048542,0.07934812,0.19837030
-78.41536542,0.09918515,-0.11902220
-78.41024542,0.09918515,-0.27771840
-78.40512542,0.11902220,-0.23804440
-78.40000542,0.13885920,0.00000000
-78.39488542,0.13885920,0.19837030
-78.38976542,0.15869620,-0.03967406
-78.38464542,0.15869620,0.07934812
